dataset_source,source_grain,source_row_id,cbecs_public_building_id,cbecs_region_code,cbecs_building_activity_code,floor_area_sqft,cbecs_floor_count_code,cbecs_construction_period_code,cbecs_occupancy_code,cbecs_weekly_operating_hours,cbecs_worker_count,cbecs_energy_used_code,cbecs_electricity_used_code,cbecs_natural_gas_used_code,cbecs_fuel_oil_used_code,cbecs_propane_used_code,cbecs_district_steam_used_code,cbecs_district_hot_water_used_code,heating_degree_days,cooling_degree_days,electricity_btu,electricity_consumption_cbecs,electricity_expenditure,natural_gas_btu,natural_gas_consumption_cbecs,natural_gas_expenditure,survey_final_weight
cbecs,building_survey,1,1,3,2,210000,994,2,1,70,350,1,1,2,1,2,1,2,4463,1759,18708970.0,5483285.0,775800.0,,,,2.17
cbecs,building_survey,2,2,4,2,28000,5,6,2,45,12,1,1,1,2,2,2,2,2424,189,1528667.0,448027.0,77933.0,201988.0,1946.0,4097.0,312.77
cbecs,building_survey,3,3,3,8,2100,1,6,1,48,6,1,1,2,2,2,2,2,3218,2403,52387.0,15354.0,3472.0,,,,1218.03
cbecs,building_survey,4,4,3,5,240000,1,9,2,55,34,1,1,1,2,1,2,2,1045,3041,1974255.0,578621.0,41197.0,1211520.0,11672.0,9862.0,69.6
cbecs,building_survey,5,5,1,5,295000,1,4,2,80,10,1,1,1,2,2,2,2,5076,1316,1290564.0,378243.0,33688.0,3386445.0,32625.0,35297.0,199.58
cbecs,building_survey,6,6,3,14,94000,2,7,1,60,112,1,1,1,2,2,2,2,4830,1143,2701501.0,791765.0,83464.0,1234016.0,11888.0,9259.0,99.04
cbecs,building_survey,7,7,4,14,41000,2,8,1,50,43,1,1,2,2,2,2,2,1924,3577,2001353.0,586563.0,41661.0,,,,324.59
cbecs,building_survey,8,8,2,5,122000,2,4,1,168,110,1,1,1,1,2,2,2,4540,1184,2995725.0,877997.0,77439.0,894589.0,8618.0,4720.0,15.06
cbecs,building_survey,9,9,4,25,96000,1,8,1,95,30,1,1,1,2,2,2,2,5054,1269,2476873.0,725930.0,68336.0,505107.0,4866.0,4187.0,245.01
cbecs,building_survey,10,10,1,14,220000,3,3,2,80,80,1,1,1,2,2,2,2,8497,598,4985513.0,1461170.0,158941.0,19296036.0,185896.0,102029.0,44.64
cbecs,building_survey,11,11,1,25,7500,1,5,1,64,4,1,1,1,2,2,2,2,5951,1036,568248.0,166544.0,13908.0,402010.0,3873.0,2659.0,14.9
cbecs,building_survey,12,12,4,7,350000,5,5,5,54,250,1,1,1,2,2,2,2,1376,680,17352643.0,5085769.0,576798.0,9171345.0,88356.0,49886.0,17.76
cbecs,building_survey,13,13,4,2,30500,3,7,5,50,25,1,1,1,2,2,2,2,4615,1184,682778.0,200111.0,14249.0,1505253.0,14501.0,7140.0,621.37
cbecs,building_survey,14,14,3,14,8000,1,8,1,35,3,1,1,2,2,2,2,2,2886,2586,200139.0,58657.0,6795.0,,,,4468.96
cbecs,building_survey,15,15,2,5,3000,2,6,1,45,4,1,1,1,2,2,2,2,6250,894,70881.0,20774.0,2525.0,123806.0,1193.0,1197.0,3075.23
cbecs,building_survey,16,16,4,25,8500,1,8,1,98,2,1,1,2,2,2,2,2,1504,3786,549320.0,160996.0,11769.0,,,,2934.43
cbecs,building_survey,17,17,3,14,51000,1,3,1,60,48,1,1,1,2,2,2,2,2706,2195,1658447.0,486063.0,52848.0,286449.0,2760.0,2782.0,431.11
cbecs,building_survey,18,18,4,5,2100000,4,9,1,154,800,1,1,1,1,1,2,2,3826,401,15454465.0,4529445.0,390831.0,2083930.0,20076.0,16669.0,70.08
cbecs,building_survey,19,19,3,2,184000,3,2,30,38,400,1,1,1,1,2,2,2,3943,1680,10394225.0,3046373.0,294586.0,6001662.0,57819.0,61657.0,7.59
cbecs,building_survey,20,20,1,2,1500000,995,2,40,168,2500,1,1,1,1,2,1,2,5545,1262,105615166.0,30954035.0,2829675.0,4416227.0,42546.0,53023.0,58.26
cbecs,building_survey,21,21,2,2,240000,4,8,3,80,400,1,1,1,1,2,2,2,5213,1708,9557002.0,2800997.0,338196.0,7562621.0,72858.0,40230.0,15.06
cbecs,building_survey,22,22,4,2,210000,994,2,100,168,500,1,1,1,2,2,2,2,777,1583,7971075.0,2336188.0,459021.0,2977333.0,28683.0,20793.0,15.06
cbecs,building_survey,23,23,1,2,22000,3,6,2,168,25,1,1,2,1,2,2,2,6536,769,1201701.0,352198.0,53374.0,,,,1195.68
cbecs,building_survey,24,24,4,5,116000,1,8,2,86,20,1,1,2,2,1,2,2,4448,332,5776390.0,1692963.0,178655.0,,,,15.06
cbecs,building_survey,25,25,3,2,230000,995,8,2,50,247,1,1,2,1,2,2,2,4368,1744,9532404.0,2793788.0,398459.0,,,,14.9
cbecs,building_survey,26,26,1,2,182000,994,6,20,56,250,1,1,1,2,2,2,2,4590,1510,6348373.0,1860602.0,221378.0,4254287.0,40985.0,23237.0,14.9
cbecs,building_survey,27,27,3,1,2800,1,5,0,0,0,1,1,2,2,2,2,2,1507,3667,56254.0,16487.0,1894.0,,,,2990.63
cbecs,building_survey,28,28,3,5,4550,1,8,1,0,0,2,2,2,2,2,2,2,4145,2230,,,,,,,6659.94
cbecs,building_survey,29,29,2,2,420000,994,6,35,56,1053,1,1,1,1,2,2,2,6302,1375,16498277.0,4835368.0,463023.0,419495.0,4041.0,4851.0,15.06
cbecs,building_survey,30,30,3,2,3250,1,9,1,40,6,1,1,1,2,2,2,2,2496,2534,53185.0,15588.0,1769.0,50970.0,491.0,563.0,1218.03
cbecs,building_survey,31,31,3,8,1000000,3,4,15,168,1000,1,1,1,1,2,2,2,2245,2142,57519589.0,16858027.0,1348060.0,49329284.0,475234.0,240254.0,7.59
cbecs,building_survey,32,32,4,2,190000,5,8,1,60,612,1,1,1,2,2,2,2,2327,226,6827462.0,2001015.0,339955.0,2219538.0,21383.0,26820.0,59.79
cbecs,building_survey,33,33,3,25,158000,1,8,8,168,115,1,1,1,2,2,2,2,3733,1866,13555608.0,3972921.0,384779.0,3470047.0,33430.0,18933.0,161.63
cbecs,building_survey,34,34,3,12,62000,2,4,1,50,15,1,1,2,2,2,2,2,1523,3388,3571638.0,1046787.0,88014.0,,,,14.9
cbecs,building_survey,35,35,1,26,9000,1,2,1,70,10,1,1,2,1,2,2,2,6126,878,169314.0,49623.0,9272.0,,,,3356.48
cbecs,building_survey,36,36,3,26,5400,1,7,1,45,2,1,1,1,2,2,2,2,3762,1940,14633.0,4289.0,437.0,289430.0,2788.0,6067.0,1214.38
cbecs,building_survey,37,37,3,25,4500,1,5,1,75,4,1,1,2,2,2,2,2,5123,1521,487852.0,142981.0,17225.0,,,,2990.63
cbecs,building_survey,38,38,4,23,26500,2,8,3,55,41,1,1,1,1,2,2,2,1560,4335,1256258.0,368188.0,26738.0,24533.0,236.0,309.0,2009.74
cbecs,building_survey,39,39,3,14,50000,1,3,1,45,45,1,1,1,2,2,2,2,3592,2102,721728.0,211526.0,25725.0,928633.0,8946.0,7949.0,330.8
cbecs,building_survey,40,40,1,17,100001,3,7,1,168,73,1,1,1,1,2,2,2,6506,796,8713526.0,2553788.0,194441.0,14020105.0,135068.0,102768.0,9.01
cbecs,building_survey,41,41,3,5,15000,1,6,1,168,1,1,1,2,2,2,2,2,1339,3610,594099.0,174120.0,11036.0,,,,3420.76
cbecs,building_survey,42,42,2,13,20750,2,3,1,35,2,1,1,1,2,2,2,2,7612,1206,57141.0,16747.0,1921.0,201158.0,1938.0,1756.0,502.9
cbecs,building_survey,43,43,4,8,220000,4,8,3,168,300,1,1,1,1,2,2,2,6509,1197,15669966.0,4592604.0,361924.0,19585444.0,188684.0,147192.0,8.76
cbecs,building_survey,44,44,1,2,360000,994,2,150,40,1500,1,1,1,2,2,2,2,7124,668,7302609.0,2140272.0,259090.0,18096559.0,174341.0,163768.0,8.74
cbecs,building_survey,45,45,1,14,500001,4,2,1,80,400,1,1,1,1,2,1,2,4740,1523,12289194.0,3601757.0,404692.0,16018463.0,154320.0,85677.0,8.84
cbecs,building_survey,46,46,3,12,11250,2,8,1,35,3,1,1,1,1,1,2,2,3445,2207,373487.0,109463.0,9833.0,87537.0,843.0,1046.0,2990.63
cbecs,building_survey,47,47,4,5,62000,2,7,7,50,56,1,1,2,2,2,2,2,668,1460,1351575.0,396124.0,51157.0,,,,215.07
cbecs,building_survey,48,48,3,1,300000,6,8,0,0,0,1,1,2,2,2,2,2,3455,2143,12785.0,3747.0,648.0,,,,54.9
cbecs,building_survey,49,49,2,2,260000,7,5,1,168,53,1,1,1,2,2,1,2,5684,811,11625006.0,3407094.0,284335.0,744622.0,7174.0,4889.0,51.34
cbecs,building_survey,50,50,3,2,80000,1,7,3,168,12,1,1,2,2,2,2,2,1889,3143,5217785.0,1529245.0,92445.0,,,,245.01
cbecs,building_survey,51,51,2,2,124000,994,2,7,120,500,1,1,1,2,2,2,1,4613,2363,9024214.0,2644846.0,226336.0,2925422.0,28183.0,15614.0,137.69
cbecs,building_survey,52,52,4,5,260000,1,8,1,168,40,1,1,2,2,1,2,2,5669,698,9511405.0,2787633.0,199758.0,,,,31.35
cbecs,building_survey,53,53,3,14,220000,2,8,1,50,244,1,1,1,1,2,2,2,4285,1852,2853861.0,836419.0,86427.0,7937745.0,76472.0,64516.0,46.68
cbecs,building_survey,54,54,2,12,50000,1,6,1,85,11,1,1,1,2,2,2,2,6142,1097,608547.0,178355.0,24012.0,1256902.0,12109.0,7186.0,611.8
cbecs,building_survey,55,55,4,16,230000,6,8,1,168,400,1,1,1,1,2,1,2,511,3720,9916353.0,2906317.0,277878.0,5063676.0,48783.0,26733.0,9.01
cbecs,building_survey,56,56,3,26,25000,1,4,1,56,6,1,1,1,2,2,2,2,3147,2723,316701.0,92820.0,7576.0,98702.0,951.0,975.0,589.53
cbecs,building_survey,57,57,2,6,110000,1,6,2,168,50,1,1,1,2,2,2,2,6409,940,17696439.0,5186530.0,570612.0,5829457.0,56160.0,31094.0,24.95
