dataset_source,source_grain,source_row_id,customer_id,building_type,customer_type,region,floor_area_sqft,floor_area_m2,occupants,appliance_count,outdoor_temperature,day_type,reported_energy_consumption,energy_cost_brl
test_energy,cross_sectional_observation,1,,Residential,,,24563,,15,4,28.52,weekday,2865.57,
test_energy,cross_sectional_observation,2,,Commercial,,,27583,,56,23,23.07,weekend,4283.8,
test_energy,cross_sectional_observation,3,,Commercial,,,45313,,4,44,33.56,weekday,5067.83,
test_energy,cross_sectional_observation,4,,Residential,,,41625,,84,17,27.39,weekend,4624.3,
test_energy,cross_sectional_observation,5,,Residential,,,36720,,58,47,17.08,weekday,4820.59,
test_energy,cross_sectional_observation,6,,Industrial,,,31207,,47,28,22.82,weekday,5026.23,
test_energy,cross_sectional_observation,7,,Residential,,,39227,,18,44,23.36,weekend,4404.56,
test_energy,cross_sectional_observation,8,,Residential,,,7814,,21,19,27.27,weekday,2394.37,
test_energy,cross_sectional_observation,9,,Industrial,,,20482,,24,16,23.0,weekend,3969.09,
test_energy,cross_sectional_observation,10,,Industrial,,,21030,,90,35,12.96,weekday,5136.69,
test_energy,cross_sectional_observation,11,,Commercial,,,41401,,87,15,15.54,weekend,5162.33,
test_energy,cross_sectional_observation,12,,Industrial,,,6279,,23,41,10.77,weekend,3810.09,
test_energy,cross_sectional_observation,13,,Industrial,,,31963,,2,20,23.53,weekend,4400.48,
test_energy,cross_sectional_observation,14,,Commercial,,,29187,,82,39,23.54,weekday,4991.64,
test_energy,cross_sectional_observation,15,,Industrial,,,13990,,80,27,12.9,weekend,4474.98,
test_energy,cross_sectional_observation,16,,Residential,,,8157,,10,37,25.96,weekday,2668.06,
test_energy,cross_sectional_observation,17,,Industrial,,,27165,,73,25,30.15,weekday,4987.52,
test_energy,cross_sectional_observation,18,,Industrial,,,5819,,56,41,26.19,weekend,4039.98,
test_energy,cross_sectional_observation,19,,Residential,,,6155,,78,43,21.89,weekday,3388.29,
test_energy,cross_sectional_observation,20,,Commercial,,,33233,,48,4,30.54,weekend,4068.94,
test_energy,cross_sectional_observation,21,,Industrial,,,24762,,51,12,21.65,weekend,4379.87,
test_energy,cross_sectional_observation,22,,Commercial,,,25925,,96,40,26.9,weekend,4921.73,
test_energy,cross_sectional_observation,23,,Industrial,,,42729,,20,17,11.91,weekend,5116.9,
test_energy,cross_sectional_observation,24,,Industrial,,,18150,,87,26,28.24,weekend,4656.29,
test_energy,cross_sectional_observation,25,,Industrial,,,42767,,40,28,17.94,weekend,5508.64,
test_energy,cross_sectional_observation,26,,Residential,,,35650,,98,1,25.43,weekday,4205.35,
test_energy,cross_sectional_observation,27,,Residential,,,40486,,27,28,15.73,weekend,4275.65,
test_energy,cross_sectional_observation,28,,Commercial,,,44253,,30,5,24.14,weekend,4491.97,
test_energy,cross_sectional_observation,29,,Commercial,,,27582,,24,24,29.99,weekday,3999.14,
test_energy,cross_sectional_observation,30,,Commercial,,,21162,,10,37,27.83,weekend,3758.95,
test_energy,cross_sectional_observation,31,,Industrial,,,27708,,47,24,11.26,weekend,4779.08,
test_energy,cross_sectional_observation,32,,Residential,,,44539,,8,44,26.62,weekday,4603.83,
test_energy,cross_sectional_observation,33,,Commercial,,,49354,,84,38,15.03,weekday,6042.56,
test_energy,cross_sectional_observation,34,,Commercial,,,19926,,27,17,19.33,weekend,3509.64,
test_energy,cross_sectional_observation,35,,Residential,,,28070,,10,33,12.93,weekend,3598.87,
test_energy,cross_sectional_observation,36,,Commercial,,,22797,,7,45,21.26,weekend,4003.54,
test_energy,cross_sectional_observation,37,,Residential,,,45412,,11,21,31.45,weekday,4193.36,
test_energy,cross_sectional_observation,38,,Industrial,,,29331,,8,1,31.71,weekend,3908.0,
test_energy,cross_sectional_observation,39,,Residential,,,2743,,3,42,20.36,weekend,2405.34,
test_energy,cross_sectional_observation,40,,Commercial,,,45772,,50,45,25.48,weekday,5611.18,
test_energy,cross_sectional_observation,41,,Residential,,,39327,,70,36,19.4,weekend,4789.37,
test_energy,cross_sectional_observation,42,,Residential,,,11546,,91,47,17.42,weekend,3840.2,
test_energy,cross_sectional_observation,43,,Residential,,,39390,,52,48,20.37,weekday,4897.66,
test_energy,cross_sectional_observation,44,,Residential,,,38141,,90,11,19.64,weekend,4428.85,
test_energy,cross_sectional_observation,45,,Residential,,,36642,,36,32,11.17,weekend,4276.25,
test_energy,cross_sectional_observation,46,,Residential,,,5444,,97,42,15.11,weekend,3506.64,
test_energy,cross_sectional_observation,47,,Industrial,,,40885,,6,31,20.3,weekday,5172.77,
test_energy,cross_sectional_observation,48,,Residential,,,11985,,41,17,33.48,weekday,2731.87,
test_energy,cross_sectional_observation,49,,Residential,,,16582,,33,28,11.13,weekend,3163.44,
test_energy,cross_sectional_observation,50,,Residential,,,19422,,70,49,10.4,weekday,4149.12,
test_energy,cross_sectional_observation,51,,Residential,,,24210,,28,14,22.05,weekend,3160.27,
test_energy,cross_sectional_observation,52,,Residential,,,34256,,30,44,29.64,weekday,4294.59,
test_energy,cross_sectional_observation,53,,Commercial,,,29873,,88,48,21.55,weekday,5275.92,
test_energy,cross_sectional_observation,54,,Residential,,,7924,,63,36,34.71,weekend,3072.63,
test_energy,cross_sectional_observation,55,,Industrial,,,7070,,44,18,14.78,weekday,3629.61,
test_energy,cross_sectional_observation,56,,Industrial,,,36496,,5,38,24.0,weekend,5014.79,
test_energy,cross_sectional_observation,57,,Residential,,,9655,,87,13,22.86,weekend,2998.47,
test_energy,cross_sectional_observation,58,,Commercial,,,40452,,52,28,23.83,weekend,4983.43,
test_energy,cross_sectional_observation,59,,Commercial,,,40542,,31,19,12.01,weekday,4707.07,
test_energy,cross_sectional_observation,60,,Residential,,,11498,,70,12,28.57,weekend,2872.05,
test_energy,cross_sectional_observation,61,,Residential,,,1306,,8,43,30.67,weekend,2351.97,
test_energy,cross_sectional_observation,62,,Industrial,,,46494,,42,2,34.55,weekday,5161.94,
test_energy,cross_sectional_observation,63,,Residential,,,21408,,73,20,27.59,weekend,3562.43,
test_energy,cross_sectional_observation,64,,Residential,,,1636,,19,49,15.18,weekday,2725.89,
test_energy,cross_sectional_observation,65,,Commercial,,,48114,,30,36,15.93,weekend,5346.06,
test_energy,cross_sectional_observation,66,,Industrial,,,28465,,71,46,21.45,weekend,5446.0,
test_energy,cross_sectional_observation,67,,Industrial,,,18350,,86,18,12.38,weekend,4575.58,
test_energy,cross_sectional_observation,68,,Industrial,,,13088,,41,30,33.5,weekday,4046.88,
test_energy,cross_sectional_observation,69,,Commercial,,,11553,,13,23,25.63,weekend,3039.52,
test_energy,cross_sectional_observation,70,,Residential,,,38099,,22,16,20.19,weekend,3844.0,
test_energy,cross_sectional_observation,71,,Industrial,,,5908,,49,49,32.4,weekend,4103.39,
test_energy,cross_sectional_observation,72,,Industrial,,,17868,,68,35,10.4,weekend,4721.39,
test_energy,cross_sectional_observation,73,,Commercial,,,38141,,99,23,14.54,weekday,5334.33,
test_energy,cross_sectional_observation,74,,Commercial,,,26715,,27,46,13.11,weekday,4510.2,
test_energy,cross_sectional_observation,75,,Industrial,,,14218,,74,8,30.22,weekday,4009.8,
test_energy,cross_sectional_observation,76,,Commercial,,,9405,,31,30,11.04,weekday,3375.06,
test_energy,cross_sectional_observation,77,,Residential,,,26158,,98,47,31.83,weekday,4618.77,
test_energy,cross_sectional_observation,78,,Industrial,,,38856,,36,8,14.75,weekday,4939.07,
test_energy,cross_sectional_observation,79,,Residential,,,17982,,4,37,13.29,weekend,3112.64,
test_energy,cross_sectional_observation,80,,Commercial,,,40337,,9,27,16.96,weekday,4612.04,
test_energy,cross_sectional_observation,81,,Residential,,,28461,,20,44,14.43,weekday,3980.9,
test_energy,cross_sectional_observation,82,,Industrial,,,36836,,4,2,19.49,weekday,4374.35,
test_energy,cross_sectional_observation,83,,Industrial,,,20517,,20,21,29.01,weekday,4050.8,
test_energy,cross_sectional_observation,84,,Industrial,,,47042,,53,32,34.36,weekday,5900.32,
test_energy,cross_sectional_observation,85,,Residential,,,31487,,60,3,17.97,weekday,3694.52,
test_energy,cross_sectional_observation,86,,Commercial,,,33413,,75,17,21.6,weekend,4652.65,
test_energy,cross_sectional_observation,87,,Industrial,,,19750,,80,39,20.28,weekday,5016.11,
test_energy,cross_sectional_observation,88,,Industrial,,,9684,,13,9,33.28,weekend,3127.82,
test_energy,cross_sectional_observation,89,,Industrial,,,21087,,92,42,26.97,weekend,5179.49,
test_energy,cross_sectional_observation,90,,Commercial,,,19940,,64,22,25.01,weekday,4001.96,
test_energy,cross_sectional_observation,91,,Residential,,,31178,,26,11,27.46,weekday,3451.58,
test_energy,cross_sectional_observation,92,,Residential,,,33642,,66,11,16.89,weekend,3977.63,
test_energy,cross_sectional_observation,93,,Residential,,,34160,,66,2,25.46,weekday,3830.68,
test_energy,cross_sectional_observation,94,,Industrial,,,2091,,99,39,24.85,weekend,4250.29,
test_energy,cross_sectional_observation,95,,Industrial,,,30211,,21,3,28.58,weekend,4137.66,
test_energy,cross_sectional_observation,96,,Commercial,,,1161,,81,11,15.45,weekend,3010.81,
test_energy,cross_sectional_observation,97,,Residential,,,37943,,50,23,21.73,weekend,4248.49,
test_energy,cross_sectional_observation,98,,Commercial,,,1558,,27,29,16.86,weekend,2843.6,
test_energy,cross_sectional_observation,99,,Industrial,,,2145,,56,12,11.77,weekend,3348.39,
test_energy,cross_sectional_observation,100,,Residential,,,42414,,72,24,29.62,weekday,4722.59,
energy_consumption,customer_observation,1,CUSTOMER_0001,,residential,Northeast,,24,2,,,,,64.51
energy_consumption,customer_observation,2,CUSTOMER_0002,,commercial,Midwest,,24,1,,,,,55.26
energy_consumption,customer_observation,3,CUSTOMER_0003,,commercial,Southeast,,24,1,,,,,74.54
energy_consumption,customer_observation,4,CUSTOMER_0004,,residential,Northeast,,45,4,,,,,147.06
energy_consumption,customer_observation,5,CUSTOMER_0005,,residential,Southeast,,45,4,,,,,143.06
energy_consumption,customer_observation,6,CUSTOMER_0006,,residential,North,,52,2,,,,,96.7
energy_consumption,customer_observation,7,CUSTOMER_0007,,residential,Midwest,,17,3,,,,,52.99
energy_consumption,customer_observation,8,CUSTOMER_0008,,commercial,Southeast,,45,3,,,,,102.13
energy_consumption,customer_observation,9,CUSTOMER_0009,,residential,Northeast,,45,2,,,,,70.03
energy_consumption,customer_observation,10,CUSTOMER_0010,,commercial,Midwest,,45,4,,,,,158.14
energy_consumption,customer_observation,11,CUSTOMER_0011,,residential,Northeast,,52,3,,,,,65.47
energy_consumption,customer_observation,12,CUSTOMER_0012,,commercial,Midwest,,45,3,,,,,76.71
energy_consumption,customer_observation,13,CUSTOMER_0013,,commercial,Midwest,,77,3,,,,,70.67
energy_consumption,customer_observation,14,CUSTOMER_0014,,residential,Midwest,,24,2,,,,,70.77
energy_consumption,customer_observation,15,CUSTOMER_0015,,residential,Northeast,,45,1,,,,,95.75
energy_consumption,customer_observation,16,CUSTOMER_0016,,residential,Northeast,,17,1,,,,,90.83
energy_consumption,customer_observation,17,CUSTOMER_0017,,residential,North,,17,1,,,,,103.45
energy_consumption,customer_observation,18,CUSTOMER_0018,,residential,Northeast,,24,1,,,,,84.0
energy_consumption,customer_observation,19,CUSTOMER_0019,,residential,Midwest,,17,1,,,,,76.29
energy_consumption,customer_observation,20,CUSTOMER_0020,,residential,Southeast,,24,3,,,,,57.13
energy_consumption,customer_observation,21,CUSTOMER_0021,,residential,Midwest,,24,3,,,,,103.67
energy_consumption,customer_observation,22,CUSTOMER_0022,,residential,Midwest,,17,3,,,,,80.82
energy_consumption,customer_observation,23,CUSTOMER_0023,,residential,South,,77,2,,,,,88.47
energy_consumption,customer_observation,24,CUSTOMER_0024,,residential,Midwest,,17,3,,,,,73.39
energy_consumption,customer_observation,25,CUSTOMER_0025,,residential,South,,45,4,,,,,133.88
energy_consumption,customer_observation,26,CUSTOMER_0026,,commercial,Midwest,,24,1,,,,,100.9
energy_consumption,customer_observation,27,CUSTOMER_0027,,residential,Northeast,,77,4,,,,,112.98
