record_id,business_id,month,year,electricity_bill,diesel_cost,petrol_cost,generator_hours,grid_hours,outage_hours,energy_consumption_kwh,fuel_consumption_liters,maintenance_cost,weather_avg_temp,occupancy_rate,total_energy_cost,business_name,business_type,industry,state,city,employees,operating_hours,floor_area_sqm,energy_source,solar_capacity_kw,monthly_revenue,created_at,quarter,cost_per_kwh,energy_cost_per_employee,generator_dependency,revenue_energy_ratio,outage_severity,estimated_carbon_intensity,next_month_energy_cost
REC-000001,BIZ-0001,1,2024,16742753.83,1659251.45,50382.13,43.21,358.71,48.01,176239.51,1343.52,635656.58,26.76,70.06,18452387.41,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,1,104.70062819625406,450058.2295121951,0.10750895700636943,3.351693239243561,0.1180418961447679,0.0076232622299052,20622916.7
REC-000002,BIZ-0001,2,2024,17751684.82,2786617.97,84613.91,63.09,310.38,70.1,186859.84,2256.37,705957.29,28.91,74.3,20622916.7,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,1,110.365698161788,502997.9682926829,0.1689292312635553,2.998932839116787,0.18424095878889823,0.012075200321267533,16790807.61
REC-000003,BIZ-0001,3,2024,14261402.39,2454864.79,74540.43,81.97,315.65,91.07,150120.03,1987.74,655624.36,29.04,83.96,16790807.61,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,1,111.84921565763077,409531.8929268292,0.20615160203209093,3.68336911282137,0.22391325727773406,0.013241004548160563,20856513.51
REC-000004,BIZ-0001,4,2024,18084045.54,2690764.59,81703.38,79.27,305.52,88.08,190358.37,2178.76,750289.33,29.72,63.92,20856513.51,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,2,109.56446785082265,508695.45146341465,0.20600847215364226,2.9653442364826006,0.22378048780487805,0.011445569743006312,16201526.55
REC-000005,BIZ-0001,5,2024,13516194.94,2606196.1,79135.51,82.91,314.6,92.12,142275.74,2110.28,638089.37,29.52,57.99,16201526.55,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,2,113.87413307426833,395159.18414634146,0.20857336922341577,3.8173404178385892,0.22649488591660114,0.014832324892493972,20485286.71
REC-000006,BIZ-0001,6,2024,17632925.78,2768303.14,84057.79,71.39,314.28,79.32,185609.75,2241.54,721073.68,29.28,57.1,20485286.71,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,2,110.36751415267787,499641.1392682927,0.18510643814660205,3.0190811095560206,0.20152439024390245,0.012076628517629058,21936347.29
REC-000007,BIZ-0001,7,2024,19041319.03,2809713.09,85315.17,62.65,337.11,69.61,200434.94,2275.07,738906.39,29.04,85.58,21936347.29,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,3,109.44372917216928,535032.8607317073,0.15671903141885132,2.819372856947507,0.17114968528717547,0.011350665707286364,14131936.3
REC-000008,BIZ-0001,8,2024,12608682.49,1478364.21,44889.6,42.53,359.47,47.25,132722.97,1197.06,525366.47,26.92,65.07,14131936.3,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,3,106.47694442039686,344681.3731707317,0.10579601990049751,4.376381326457012,0.11617328874901653,0.009019237589393908,19434030.75
REC-000009,BIZ-0001,9,2024,17282318.02,2088302.73,63410.0,58.06,329.09,64.51,181919.14,1690.93,682523.64,25.92,71.88,19434030.75,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,3,106.8278508242728,474000.75,0.14996771277282708,3.1823939627140914,0.16389735772357727,0.009294953791008467,14244320.84
REC-000010,BIZ-0001,10,2024,11900614.27,2274638.6,69067.97,63.03,336.68,70.04,125269.62,1841.81,551849.04,24.91,64.75,14244320.84,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,4,113.7093003076085,347422.45951219514,0.1576893247604513,4.34185264602619,0.17220692368214008,0.014702766720294993,18827511.95
REC-000011,BIZ-0001,11,2024,16097968.48,2649105.06,80438.41,71.07,314.63,78.97,169452.3,2145.02,679994.88,26.14,76.76,18827511.95,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,4,111.10803423736355,459207.60853658535,0.1842623800881514,3.28491317887598,0.20063516260162603,0.012658547567663585,13027396.74
