record_id,business_id,month,year,electricity_bill,diesel_cost,petrol_cost,generator_hours,grid_hours,outage_hours,energy_consumption_kwh,fuel_consumption_liters,maintenance_cost,weather_avg_temp,occupancy_rate,total_energy_cost
REC-000001,BIZ-0001,1,2024,16742753.83,1659251.45,50382.13,43.21,358.71,48.01,176239.51,1343.52,635656.58,26.76,70.06,18452387.41
REC-000002,BIZ-0001,2,2024,17751684.82,2786617.97,84613.91,63.09,310.38,70.1,186859.84,2256.37,705957.29,28.91,74.3,20622916.7
REC-000003,BIZ-0001,3,2024,14261402.39,2454864.79,74540.43,81.97,315.65,91.07,150120.03,1987.74,655624.36,29.04,83.96,16790807.61
REC-000004,BIZ-0001,4,2024,18084045.54,2690764.59,81703.38,79.27,305.52,88.08,190358.37,2178.76,750289.33,29.72,63.92,20856513.51
REC-000005,BIZ-0001,5,2024,13516194.94,2606196.1,79135.51,82.91,314.6,92.12,142275.74,2110.28,638089.37,29.52,57.99,16201526.55
REC-000006,BIZ-0001,6,2024,17632925.78,2768303.14,84057.79,71.39,314.28,79.32,185609.75,2241.54,721073.68,29.28,57.1,20485286.71
REC-000007,BIZ-0001,7,2024,19041319.03,2809713.09,85315.17,62.65,337.11,69.61,200434.94,2275.07,738906.39,29.04,85.58,21936347.29
REC-000008,BIZ-0001,8,2024,12608682.49,1478364.21,44889.6,42.53,359.47,47.25,132722.97,1197.06,525366.47,26.92,65.07,14131936.3
REC-000009,BIZ-0001,9,2024,17282318.02,2088302.73,63410.0,58.06,329.09,64.51,181919.14,1690.93,682523.64,25.92,71.88,19434030.75
REC-000010,BIZ-0001,10,2024,11900614.27,2274638.6,69067.97,63.03,336.68,70.04,125269.62,1841.81,551849.04,24.91,64.75,14244320.84
REC-000011,BIZ-0001,11,2024,16097968.48,2649105.06,80438.41,71.07,314.63,78.97,169452.3,2145.02,679994.88,26.14,76.76,18827511.95
REC-000012,BIZ-0001,12,2024,10775915.61,2185131.0,66350.13,53.22,347.59,59.13,113430.69,1769.34,500652.0,26.21,79.27,13027396.74
REC-000013,BIZ-0001,1,2025,11630729.6,1731944.22,52589.4,45.02,356.69,50.03,122428.73,1402.38,505126.49,27.76,67.29,13415263.22
